Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,ECR error ,Gate time (ns)
85,125.31927004633444,70.51641079130279,5.226932342475279,-0.3001304815559209,0.01529999999999998,0.0146,0.016000000000000014,2000,0.0026141274752628603,0.0026141274752628603,0.0026141274752628603,85_86:0.03843946883258259,85_86:660
86,100.66248187228196,110.12539317772067,5.273675615182732,-0.2982684953978635,0.03970000000000007,0.04420000000000002,0.0352,2000,0.00048751430500887805,0.00048751430500887805,0.00048751430500887805,86_87:0.01599492517275483,86_87:660
87,94.11721062094446,107.82763889712339,5.038022275313738,-0.3027295454299651,0.05259999999999998,0.06920000000000004,0.036,2000,0.0006680437341503362,0.0006680437341503362,0.0006680437341503362,87_99:0.01869219317844678; 87_88:0.01635519990315476,87_99:660; 87_88:660
88,90.94371557504253,49.3587178524597,5.150761089062261,-0.30052408970352634,0.027000000000000024,0.0188,0.03520000000000001,2000,0.0004725382626454331,0.0004725382626454331,0.0004725382626454331,88_89:0.020651951372603033,88_89:660
89,109.01116357193051,34.079283649970456,5.067659323132277,-0.26611258791623,0.07333333333333336,0.07333333333333333,0.07333333333333336,2000,0.0019214125525610687,0.0019214125525610687,0.0019214125525610687,undefined,undefined
90,45.308362383280055,79.47775972623145,5.3290090603466576,-0.2969551752261041,0.14549999999999996,0.08660000000000001,0.2044,2000,0.0006819937821204762,0.0006819937821204762,0.0006819937821204762,90_89:0.019583802417019097,90_89:660
91,83.79745043668898,66.98937601707014,5.205507692707249,-0.29968740964749185,0.021100000000000008,0.019199999999999995,0.023,2000,0.0013086010773803774,0.0013086010773803774,0.0013086010773803774,91_90:0.028945108856797075; 91_92:0.031721701856222306,91_90:660; 91_92:660
92,113.19148395973065,23.377071112522245,5.14379701005231,0,0.05379999999999996,0.049799999999999955,0.0578,2000,0.002954464023839655,0.002954464023839655,0.002954464023839655,92_93:0.03263758412955792,92_93:660
93,50.347347250522596,83.86028422297503,5.2300853633162285,-0.30021226807326484,0.008599999999999941,0.008399999999999963,0.0088,2000,0.0006066197840305894,0.0006066197840305894,0.0006066197840305894,undefined,undefined
94,undefined,undefined,0,0,1,undefined,undefined,2000,1,1,1,94_101:1,94_101:135
95,67.10423831556933,11.692356369785406,5.346255412500158,-0.29827969118211484,0.08333333333333326,0.10999999999999999,0.056666666666666664,2000,0.0009135431681759315,0.0009135431681759315,0.0009135431681759315,95_71:0.022376627815478528; 95_105:0.0431529317753542,95_71:660; 95_105:660
96,99.22416002147148,99.93840153399067,5.154657745779694,-0.3017519185743965,0.09499999999999997,0.08666666666666667,0.10333333333333339,2000,0.006556969846973034,0.006556969846973034,0.006556969846973034,undefined,undefined
97,99.18609593236627,81.68973851412586,5.117913997651695,-0.30181215421720203,0.07940000000000003,0.0772,0.0816,2000,0.0006678443646801541,0.0006678443646801541,0.0006678443646801541,97_79:0.017388466616755027,97_79:660
98,52.80649074145697,26.10987548586443,5.381332187215527,-0.29758139607465356,0.028699999999999948,0.0288,0.02859999999999996,2000,0.0006042148210597391,0.0006042148210597391,0.0006042148210597391,98_83:0.11733146142364166; 98_117:0.020235456460537316,98_83:660; 98_117:660
99,71.7090787863062,33.67671720263016,5.215512961122715,-0.30036223867342804,0.016599999999999948,0.0226,0.010600000000000054,2000,0.0006268855148608941,0.0006268855148608941,0.0006268855148608941,undefined,undefined
100,57.77847151667952,59.94238517648773,5.30244902225486,-0.29874050529792245,0.016100000000000003,0.019199999999999995,0.013,2000,0.0012537925591363593,0.0012537925591363593,0.0012537925591363593,100_91:0.024007998798269897,100_91:660
101,undefined,undefined,0,0,1,undefined,undefined,2000,1,1,1,101_102:1,101_102:135
102,undefined,undefined,0,0,1,undefined,undefined,2000,1,1,1,102_103:1,102_103:135
103,undefined,undefined,0,0,1,undefined,undefined,2000,1,1,1,103_104:1; 103_128:1,103_104:135; 103_128:135
104,69.77636780953048,36.59822551558358,5.181798435526302,-0.30055080183701977,0.0927,0.0968,0.0886,2000,0.0005362597845237322,0.0005362597845237322,0.0005362597845237322,104_105:0.02826804171960176,104_105:660
105,112.24507604123444,17.91309402176354,5.097042404445392,0,0.10166666666666668,0.09999999999999998,0.10333333333333333,2000,0.0024269804896424087,0.0024269804896424087,0.0024269804896424087,undefined,undefined
106,49.80972987648898,19.03658967361255,5.306015817351341,-0.2966544433269025,0.05666666666666664,0.05333333333333334,0.06000000000000005,2000,0.0008990485236266296,0.0008990485236266296,0.0008990485236266296,106_105:0.10301601447235365; 106_107:0.025162480163049727,106_105:660; 106_107:660
107,104.1461627687542,55.91283501636674,5.089450795390077,-0.302485227083852,0.11409999999999998,0.10980000000000001,0.1184,2000,0.0014803079581219012,0.0014803079581219012,0.0014803079581219012,107_108:0.03298764801496537,107_108:660
108,23.60542657726715,52.5505925601873,5.113422265639903,-0.3021696513706004,0.02859999999999996,0.03700000000000003,0.0202,2000,0.0018205077844417868,0.0018205077844417868,0.0018205077844417868,undefined,undefined
109,81.59442922719208,67.70498659265404,5.324831961496742,-0.2990661620878705,0.06259999999999999,0.05920000000000003,0.066,2000,0.0007678347831589101,0.0007678347831589101,0.0007678347831589101,109_96:0.04329976653888107; 109_110:0.014274296974315814; 109_108:0.016420345919139823,109_96:660; 109_110:660; 109_108:660
110,62.7502459144956,52.018179765981,5.372681684362223,-0.29783251301883024,0.049900000000000055,0.056400000000000006,0.0434,2000,0.000505721428484584,0.000505721428484584,0.000505721428484584,110_111:0.034194009138101084,110_111:660
